Origin,Destination,Value
Drogheda (MacBride),Laytown,D10
Drogheda (MacBride),Gormanston,D11
Drogheda (MacBride),Balbriggan,D11
Drogheda (MacBride),Skerries,D12
Drogheda (MacBride),Rush and Lusk,D12
Drogheda (MacBride),Donabate,D12
Drogheda (MacBride),Malahide,D91
Drogheda (MacBride),Portmarnock,D91
Drogheda (MacBride),Clongriffin,D91
Drogheda (MacBride),Howth,D91
Drogheda (MacBride),Sutton,D91
Drogheda (MacBride),Bayside,D91
Drogheda (MacBride),Howth Junction and Donaghmede,D91
Drogheda (MacBride),Kilbarrack,D91
Drogheda (MacBride),Raheny,D91
Drogheda (MacBride),Harmonstown,D91
Drogheda (MacBride),Killester,D91
Drogheda (MacBride),Clontarf Road,D91
Drogheda (MacBride),Dublin Connolly,D91
Drogheda (MacBride),Tara Street,D91
Drogheda (MacBride),Dublin Pearse,D91
Drogheda (MacBride),Grand Canal Dock,D91
Drogheda (MacBride),Lansdowne Road,D91
Drogheda (MacBride),Sandymount,D91
Drogheda (MacBride),Sydney Parade,D91
Drogheda (MacBride),Booterstown,D91
Drogheda (MacBride),Blackrock,D91
Drogheda (MacBride),Seapoint,D91
Drogheda (MacBride),Salthill and Monkstown,D91
Drogheda (MacBride),Dun Laoghaire (Mallin),D91
Drogheda (MacBride),Sandycove and Glasthule,D91
Drogheda (MacBride),Glenageary,D91
Drogheda (MacBride),Dalkey,D91
Drogheda (MacBride),Killiney,D91
Drogheda (MacBride),Shankill,D91
Drogheda (MacBride),Bray (Daly),D91
Drogheda (MacBride),Greystones,D92
Drogheda (MacBride),Kilcoole,D92
Drogheda (MacBride),Wicklow,D93
Drogheda (MacBride),Rathdrum,D94
Drogheda (MacBride),Docklands,D91
Drogheda (MacBride),Drumcondra,D91
Drogheda (MacBride),Broombridge,D91
Drogheda (MacBride),Pelletstown,D91
Drogheda (MacBride),Ashtown,D91
Drogheda (MacBride),Navan Road Parkway,D91
Drogheda (MacBride),Castleknock,D91
Drogheda (MacBride),Coolmine,D91
Drogheda (MacBride),Clonsilla,D91
Drogheda (MacBride),Hansfield,D91
Drogheda (MacBride),Dunboyne,D91
Drogheda (MacBride),M3 Parkway,D91
Drogheda (MacBride),Leixlip(Confey),D91
Drogheda (MacBride),Leixlip(Louisa Bridge),D91
Drogheda (MacBride),Maynooth,D91
Drogheda (MacBride),Kilcock,D92
Drogheda (MacBride),Enfield,D93
Laytown,Drogheda (MacBride),D10
Laytown,Gormanston,D10
Laytown,Balbriggan,D10
Laytown,Skerries,D11
Laytown,Rush and Lusk,D11
Laytown,Donabate,D12
Laytown,Malahide,D12
Laytown,Portmarnock,D12
Laytown,Clongriffin,D91
Laytown,Howth,D91
Laytown,Sutton,D91
Laytown,Bayside,D91
Laytown,Howth Junction and Donaghmede,D91
Laytown,Kilbarrack,D91
Laytown,Raheny,D91
Laytown,Harmonstown,D91
Laytown,Killester,D91
Laytown,Clontarf Road,D91
Laytown,Dublin Connolly,D91
Laytown,Tara Street,D91
Laytown,Dublin Pearse,D91
Laytown,Grand Canal Dock,D91
Laytown,Lansdowne Road,D91
Laytown,Sandymount,D91
Laytown,Sydney Parade,D91
Laytown,Booterstown,D91
Laytown,Blackrock,D91
Laytown,Seapoint,D91
Laytown,Salthill and Monkstown,D91
Laytown,Dun Laoghaire (Mallin),D91
Laytown,Sandycove and Glasthule,D91
Laytown,Glenageary,D91
Laytown,Dalkey,D91
Laytown,Killiney,D91
Laytown,Shankill,D91
Laytown,Bray (Daly),D91
Laytown,Greystones,D92
Laytown,Kilcoole,D92
Laytown,Wicklow,D93
Laytown,Rathdrum,D94
Laytown,Docklands,D91
Laytown,Drumcondra,D91
Laytown,Broombridge,D91
Laytown,Pelletstown,D91
Laytown,Ashtown,D91
Laytown,Navan Road Parkway,D91
Laytown,Castleknock,D91
Laytown,Coolmine,D91
Laytown,Clonsilla,D91
Laytown,Hansfield,D91
Laytown,Dunboyne,D91
Laytown,M3 Parkway,D91
Laytown,Leixlip(Confey),D91
Laytown,Leixlip(Louisa Bridge),D91
Laytown,Maynooth,D91
Laytown,Kilcock,D92
Laytown,Enfield,D93
Gormanston,Drogheda (MacBride),D11
Gormanston,Laytown,D10
Gormanston,Balbriggan,D10
Gormanston,Skerries,D10
Gormanston,Rush and Lusk,D11
Gormanston,Donabate,D11
Gormanston,Malahide,D90
Gormanston,Portmarnock,D90
Gormanston,Clongriffin,D90
Gormanston,Howth,D90
Gormanston,Sutton,D90
Gormanston,Bayside,D90
Gormanston,Howth Junction and Donaghmede,D90
Gormanston,Kilbarrack,D90
Gormanston,Raheny,D90
Gormanston,Harmonstown,D90
Gormanston,Killester,D90
Gormanston,Clontarf Road,D90
Gormanston,Dublin Connolly,D90
Gormanston,Tara Street,D90
Gormanston,Dublin Pearse,D90
Gormanston,Grand Canal Dock,D90
Gormanston,Lansdowne Road,D90
Gormanston,Sandymount,D90
Gormanston,Sydney Parade,D90
Gormanston,Booterstown,D90
Gormanston,Blackrock,D90
Gormanston,Seapoint,D90
Gormanston,Salthill and Monkstown,D90
Gormanston,Dun Laoghaire (Mallin),D90
Gormanston,Sandycove and Glasthule,D90
Gormanston,Glenageary,D90
Gormanston,Dalkey,D90
Gormanston,Killiney,D90
Gormanston,Shankill,D90
Gormanston,Bray (Daly),D90
Gormanston,Greystones,D91
Gormanston,Kilcoole,D91
Gormanston,Wicklow,D92
Gormanston,Rathdrum,D93
Gormanston,Docklands,D90
Gormanston,Drumcondra,D90
Gormanston,Broombridge,D90
Gormanston,Pelletstown,D90
Gormanston,Ashtown,D90
Gormanston,Navan Road Parkway,D90
Gormanston,Castleknock,D90
Gormanston,Coolmine,D90
Gormanston,Clonsilla,D90
Gormanston,Hansfield,D90
Gormanston,Dunboyne,D90
Gormanston,M3 Parkway,D90
Gormanston,Leixlip(Confey),D90
Gormanston,Leixlip(Louisa Bridge),D90
Gormanston,Maynooth,D90
Gormanston,Kilcock,D91
Gormanston,Enfield,D92
Balbriggan,Drogheda (MacBride),D11
Balbriggan,Laytown,D10
Balbriggan,Gormanston,D10
Balbriggan,Skerries,D10
Balbriggan,Rush and Lusk,D11
Balbriggan,Donabate,D11
Balbriggan,Malahide,D11
Balbriggan,Portmarnock,D90
Balbriggan,Clongriffin,D90
Balbriggan,Howth,D90
Balbriggan,Sutton,D90
Balbriggan,Bayside,D90
Balbriggan,Howth Junction and Donaghmede,D90
Balbriggan,Kilbarrack,D90
Balbriggan,Raheny,D90
Balbriggan,Harmonstown,D90
Balbriggan,Killester,D90
Balbriggan,Clontarf Road,D90
Balbriggan,Dublin Connolly,D90
Balbriggan,Tara Street,D90
Balbriggan,Dublin Pearse,D90
Balbriggan,Grand Canal Dock,D90
Balbriggan,Lansdowne Road,D90
Balbriggan,Sandymount,D90
Balbriggan,Sydney Parade,D90
Balbriggan,Booterstown,D90
Balbriggan,Blackrock,D90
Balbriggan,Seapoint,D90
Balbriggan,Salthill and Monkstown,D90
Balbriggan,Dun Laoghaire (Mallin),D90
Balbriggan,Sandycove and Glasthule,D90
Balbriggan,Glenageary,D90
Balbriggan,Dalkey,D90
Balbriggan,Killiney,D90
Balbriggan,Shankill,D90
Balbriggan,Bray (Daly),D90
Balbriggan,Greystones,D91
Balbriggan,Kilcoole,D91
Balbriggan,Wicklow,D92
Balbriggan,Rathdrum,D93
Balbriggan,Docklands,D90
Balbriggan,Drumcondra,D90
Balbriggan,Broombridge,D90
Balbriggan,Pelletstown,D90
Balbriggan,Ashtown,D90
Balbriggan,Navan Road Parkway,D90
Balbriggan,Castleknock,D90
Balbriggan,Coolmine,D90
Balbriggan,Clonsilla,D90
Balbriggan,Hansfield,D90
Balbriggan,Dunboyne,D90
Balbriggan,M3 Parkway,D90
Balbriggan,Leixlip(Confey),D90
Balbriggan,Leixlip(Louisa Bridge),D90
Balbriggan,Maynooth,D90
Balbriggan,Kilcock,D91
Balbriggan,Enfield,D92
Skerries,Drogheda (MacBride),D12
Skerries,Laytown,D11
Skerries,Gormanston,D10
Skerries,Balbriggan,D10
Skerries,Rush and Lusk,D10
Skerries,Donabate,D11
Skerries,Malahide,D11
Skerries,Portmarnock,D11
Skerries,Clongriffin,D11
Skerries,Howth,D90
Skerries,Sutton,D90
Skerries,Bayside,D90
Skerries,Howth Junction and Donaghmede,D90
Skerries,Kilbarrack,D90
Skerries,Raheny,D90
Skerries,Harmonstown,D90
Skerries,Killester,D90
Skerries,Clontarf Road,D90
Skerries,Dublin Connolly,D90
Skerries,Tara Street,D90
Skerries,Dublin Pearse,D90
Skerries,Grand Canal Dock,D90
Skerries,Lansdowne Road,D90
Skerries,Sandymount,D90
Skerries,Sydney Parade,D90
Skerries,Booterstown,D90
Skerries,Blackrock,D90
Skerries,Seapoint,D90
Skerries,Salthill and Monkstown,D90
Skerries,Dun Laoghaire (Mallin),D90
Skerries,Sandycove and Glasthule,D90
Skerries,Glenageary,D90
Skerries,Dalkey,D90
Skerries,Killiney,D90
Skerries,Shankill,D90
Skerries,Bray (Daly),D90
Skerries,Greystones,D91
Skerries,Kilcoole,D91
Skerries,Wicklow,D92
Skerries,Rathdrum,D93
Skerries,Docklands,D90
Skerries,Drumcondra,D90
Skerries,Broombridge,D90
Skerries,Pelletstown,D90
Skerries,Ashtown,D90
Skerries,Navan Road Parkway,D90
Skerries,Castleknock,D90
Skerries,Coolmine,D90
Skerries,Clonsilla,D90
Skerries,Hansfield,D90
Skerries,Dunboyne,D90
Skerries,M3 Parkway,D90
Skerries,Leixlip(Confey),D90
Skerries,Leixlip(Louisa Bridge),D90
Skerries,Maynooth,D90
Skerries,Kilcock,D91
Skerries,Enfield,D92
Rush and Lusk,Drogheda (MacBride),D12
Rush and Lusk,Laytown,D11
Rush and Lusk,Gormanston,D11
Rush and Lusk,Balbriggan,D11
Rush and Lusk,Skerries,D10
Rush and Lusk,Donabate,D2
Rush and Lusk,Malahide,D2
Rush and Lusk,Portmarnock,D2
Rush and Lusk,Clongriffin,D2
Rush and Lusk,Howth,D2
Rush and Lusk,Sutton,D2
Rush and Lusk,Bayside,D2
Rush and Lusk,Howth Junction and Donaghmede,D2
Rush and Lusk,Kilbarrack,D2
Rush and Lusk,Raheny,D2
Rush and Lusk,Harmonstown,D2
Rush and Lusk,Killester,D2
Rush and Lusk,Clontarf Road,D2
Rush and Lusk,Dublin Connolly,D2
Rush and Lusk,Tara Street,D2
Rush and Lusk,Dublin Pearse,D2
Rush and Lusk,Grand Canal Dock,D2
Rush and Lusk,Lansdowne Road,D2
Rush and Lusk,Sandymount,D2
Rush and Lusk,Sydney Parade,D2
Rush and Lusk,Booterstown,D2
Rush and Lusk,Blackrock,D2
Rush and Lusk,Seapoint,D2
Rush and Lusk,Salthill and Monkstown,D2
Rush and Lusk,Dun Laoghaire (Mallin),D2
Rush and Lusk,Sandycove and Glasthule,D2
Rush and Lusk,Glenageary,D2
Rush and Lusk,Dalkey,D2
Rush and Lusk,Killiney,D2
Rush and Lusk,Shankill,D2
Rush and Lusk,Bray (Daly),D2
Rush and Lusk,Greystones,D90
Rush and Lusk,Kilcoole,D90
Rush and Lusk,Wicklow,D91
Rush and Lusk,Rathdrum,D92
Rush and Lusk,Docklands,D2
Rush and Lusk,Drumcondra,D2
Rush and Lusk,Broombridge,D2
Rush and Lusk,Pelletstown,D2
Rush and Lusk,Ashtown,D2
Rush and Lusk,Navan Road Parkway,D2
Rush and Lusk,Castleknock,D2
Rush and Lusk,Coolmine,D2
Rush and Lusk,Clonsilla,D2
Rush and Lusk,Hansfield,D2
Rush and Lusk,Dunboyne,D2
Rush and Lusk,M3 Parkway,D2
Rush and Lusk,Leixlip(Confey),D2
Rush and Lusk,Leixlip(Louisa Bridge),D2
Rush and Lusk,Maynooth,D2
Rush and Lusk,Kilcock,D90
Rush and Lusk,Enfield,D91
Donabate,Drogheda (MacBride),D12
Donabate,Laytown,D12
Donabate,Gormanston,D11
Donabate,Balbriggan,D11
Donabate,Skerries,D11
Donabate,Rush and Lusk,D2
Donabate,Malahide,D2
Donabate,Portmarnock,D2
Donabate,Clongriffin,D2
Donabate,Howth,D2
Donabate,Sutton,D2
Donabate,Bayside,D2
Donabate,Howth Junction and Donaghmede,D2
Donabate,Kilbarrack,D2
Donabate,Raheny,D2
Donabate,Harmonstown,D2
Donabate,Killester,D2
Donabate,Clontarf Road,D2
Donabate,Dublin Connolly,D2
Donabate,Tara Street,D2
Donabate,Dublin Pearse,D2
Donabate,Grand Canal Dock,D2
Donabate,Lansdowne Road,D2
Donabate,Sandymount,D2
Donabate,Sydney Parade,D2
Donabate,Booterstown,D2
Donabate,Blackrock,D2
Donabate,Seapoint,D2
Donabate,Salthill and Monkstown,D2
Donabate,Dun Laoghaire (Mallin),D2
Donabate,Sandycove and Glasthule,D2
Donabate,Glenageary,D2
Donabate,Dalkey,D2
Donabate,Killiney,D2
Donabate,Shankill,D2
Donabate,Bray (Daly),D2
Donabate,Greystones,D90
Donabate,Kilcoole,D90
Donabate,Wicklow,D91
Donabate,Rathdrum,D92
Donabate,Docklands,D2
Donabate,Drumcondra,D2
Donabate,Broombridge,D2
Donabate,Pelletstown,D2
Donabate,Ashtown,D2
Donabate,Navan Road Parkway,D2
Donabate,Castleknock,D2
Donabate,Coolmine,D2
Donabate,Clonsilla,D2
Donabate,Hansfield,D2
Donabate,Dunboyne,D2
Donabate,M3 Parkway,D2
Donabate,Leixlip(Confey),D2
Donabate,Leixlip(Louisa Bridge),D2
Donabate,Maynooth,D2
Donabate,Kilcock,D90
Donabate,Enfield,D91
Malahide,Drogheda (MacBride),D91
Malahide,Laytown,D12
Malahide,Gormanston,D90
Malahide,Balbriggan,D11
Malahide,Skerries,D11
Malahide,Rush and Lusk,D2
Malahide,Donabate,D2
Malahide,Portmarnock,D2
Malahide,Clongriffin,D2
Malahide,Howth,D2
Malahide,Sutton,D2
Malahide,Bayside,D2
Malahide,Howth Junction and Donaghmede,D2
Malahide,Kilbarrack,D2
Malahide,Raheny,D2
Malahide,Harmonstown,D2
Malahide,Killester,D2
Malahide,Clontarf Road,D2
Malahide,Dublin Connolly,D2
Malahide,Tara Street,D2
Malahide,Dublin Pearse,D2
Malahide,Grand Canal Dock,D2
Malahide,Lansdowne Road,D2
Malahide,Sandymount,D2
Malahide,Sydney Parade,D2
Malahide,Booterstown,D2
Malahide,Blackrock,D2
Malahide,Seapoint,D2
Malahide,Salthill and Monkstown,D2
Malahide,Dun Laoghaire (Mallin),D2
Malahide,Sandycove and Glasthule,D2
Malahide,Glenageary,D2
Malahide,Dalkey,D2
Malahide,Killiney,D2
Malahide,Shankill,D2
Malahide,Bray (Daly),D2
Malahide,Greystones,D90
Malahide,Kilcoole,D90
Malahide,Wicklow,D91
Malahide,Rathdrum,D92
Malahide,Docklands,D2
Malahide,Drumcondra,D2
Malahide,Broombridge,D2
Malahide,Pelletstown,D2
Malahide,Ashtown,D2
Malahide,Navan Road Parkway,D2
Malahide,Castleknock,D2
Malahide,Coolmine,D2
Malahide,Clonsilla,D2
Malahide,Hansfield,D2
Malahide,Dunboyne,D2
Malahide,M3 Parkway,D2
Malahide,Leixlip(Confey),D2
Malahide,Leixlip(Louisa Bridge),D2
Malahide,Maynooth,D2
Malahide,Kilcock,D90
Malahide,Enfield,D91
Portmarnock,Drogheda (MacBride),D91
Portmarnock,Laytown,D12
Portmarnock,Gormanston,D90
Portmarnock,Balbriggan,D90
Portmarnock,Skerries,D11
Portmarnock,Rush and Lusk,D2
Portmarnock,Donabate,D2
Portmarnock,Malahide,D2
Portmarnock,Clongriffin,D1
Portmarnock,Howth,D2
Portmarnock,Sutton,D2
Portmarnock,Bayside,D2
Portmarnock,Howth Junction and Donaghmede,D1
Portmarnock,Kilbarrack,D2
Portmarnock,Raheny,D2
Portmarnock,Harmonstown,D2
Portmarnock,Killester,D2
Portmarnock,Clontarf Road,D2
Portmarnock,Dublin Connolly,D2
Portmarnock,Tara Street,D2
Portmarnock,Dublin Pearse,D2
Portmarnock,Grand Canal Dock,D2
Portmarnock,Lansdowne Road,D2
Portmarnock,Sandymount,D2
Portmarnock,Sydney Parade,D2
Portmarnock,Booterstown,D2
Portmarnock,Blackrock,D2
Portmarnock,Seapoint,D2
Portmarnock,Salthill and Monkstown,D2
Portmarnock,Dun Laoghaire (Mallin),D2
Portmarnock,Sandycove and Glasthule,D2
Portmarnock,Glenageary,D2
Portmarnock,Dalkey,D2
Portmarnock,Killiney,D2
Portmarnock,Shankill,D2
Portmarnock,Bray (Daly),D2
Portmarnock,Greystones,D90
Portmarnock,Kilcoole,D90
Portmarnock,Wicklow,D91
Portmarnock,Rathdrum,D92
Portmarnock,Docklands,D2
Portmarnock,Drumcondra,D2
Portmarnock,Broombridge,D2
Portmarnock,Pelletstown,D2
Portmarnock,Ashtown,D2
Portmarnock,Navan Road Parkway,D2
Portmarnock,Castleknock,D2
Portmarnock,Coolmine,D2
Portmarnock,Clonsilla,D2
Portmarnock,Hansfield,D2
Portmarnock,Dunboyne,D2
Portmarnock,M3 Parkway,D2
Portmarnock,Leixlip(Confey),D2
Portmarnock,Leixlip(Louisa Bridge),D2
Portmarnock,Maynooth,D2
Portmarnock,Kilcock,D90
Portmarnock,Enfield,D91
Clongriffin,Drogheda (MacBride),D91
Clongriffin,Laytown,D91
Clongriffin,Gormanston,D90
Clongriffin,Balbriggan,D90
Clongriffin,Skerries,D11
Clongriffin,Rush and Lusk,D2
Clongriffin,Donabate,D2
Clongriffin,Malahide,D2
Clongriffin,Portmarnock,D1
Clongriffin,Howth,D2
Clongriffin,Sutton,D1
Clongriffin,Bayside,D1
Clongriffin,Howth Junction and Donaghmede,D1
Clongriffin,Kilbarrack,D1
Clongriffin,Raheny,D1
Clongriffin,Harmonstown,D2
Clongriffin,Killester,D2
Clongriffin,Clontarf Road,D2
Clongriffin,Dublin Connolly,D2
Clongriffin,Tara Street,D2
Clongriffin,Dublin Pearse,D2
Clongriffin,Grand Canal Dock,D2
Clongriffin,Lansdowne Road,D2
Clongriffin,Sandymount,D2
Clongriffin,Sydney Parade,D2
Clongriffin,Booterstown,D2
Clongriffin,Blackrock,D2
Clongriffin,Seapoint,D2
Clongriffin,Salthill and Monkstown,D2
Clongriffin,Dun Laoghaire (Mallin),D2
Clongriffin,Sandycove and Glasthule,D2
Clongriffin,Glenageary,D2
Clongriffin,Dalkey,D2
Clongriffin,Killiney,D2
Clongriffin,Shankill,D2
Clongriffin,Bray (Daly),D2
Clongriffin,Greystones,D90
Clongriffin,Kilcoole,D90
Clongriffin,Wicklow,D91
Clongriffin,Rathdrum,D92
Clongriffin,Docklands,D2
Clongriffin,Drumcondra,D2
Clongriffin,Broombridge,D2
Clongriffin,Pelletstown,D2
Clongriffin,Ashtown,D2
Clongriffin,Navan Road Parkway,D2
Clongriffin,Castleknock,D2
Clongriffin,Coolmine,D2
Clongriffin,Clonsilla,D2
Clongriffin,Hansfield,D2
Clongriffin,Dunboyne,D2
Clongriffin,M3 Parkway,D2
Clongriffin,Leixlip(Confey),D2
Clongriffin,Leixlip(Louisa Bridge),D2
Clongriffin,Maynooth,D2
Clongriffin,Kilcock,D90
Clongriffin,Enfield,D91
Howth,Drogheda (MacBride),D91
Howth,Laytown,D91
Howth,Gormanston,D90
Howth,Balbriggan,D90
Howth,Skerries,D90
Howth,Rush and Lusk,D2
Howth,Donabate,D2
Howth,Malahide,D2
Howth,Portmarnock,D2
Howth,Clongriffin,D2
Howth,Sutton,D1
Howth,Bayside,D2
Howth,Howth Junction and Donaghmede,D2
Howth,Kilbarrack,D2
Howth,Raheny,D2
Howth,Harmonstown,D2
Howth,Killester,D2
Howth,Clontarf Road,D2
Howth,Dublin Connolly,D2
Howth,Tara Street,D2
Howth,Dublin Pearse,D2
Howth,Grand Canal Dock,D2
Howth,Lansdowne Road,D2
Howth,Sandymount,D2
Howth,Sydney Parade,D2
Howth,Booterstown,D2
Howth,Blackrock,D2
Howth,Seapoint,D2
Howth,Salthill and Monkstown,D2
Howth,Dun Laoghaire (Mallin),D2
Howth,Sandycove and Glasthule,D2
Howth,Glenageary,D2
Howth,Dalkey,D2
Howth,Killiney,D2
Howth,Shankill,D2
