PaymentMeans,TicketType,FareZone,Fare
Leap Fare,Adult Single,DEX,2.4
Leap Fare,Adult Single,DCI,3.7
Leap Fare,Adult Single,DC2,5.3
Leap Fare,Adult Single,DC3,6.3
Leap Fare,Adult Single,N01,2
Leap Fare,Adult Single,N02,3.1
Leap Fare,Adult Single,N03,4.7
Leap Fare,Adult Single,N04,6
Leap Fare,Adult Single,N05,7.3
Leap Fare,Adult Single,N06,8.1
Leap Fare,Adult Single,N07,9
Leap Fare,Adult Single,N08,9.6
Leap Fare,Adult Single,N09,10.2
Leap Fare,Adult Single,N10,10.8
Leap Fare,Adult Single,N11,11.4
Leap Fare,Adult Single,N12,12
Leap Fare,Adult Single,N13,12.6
Leap Fare,Young Adult / Child Single,DEX,1.2
Leap Fare,Young Adult / Child Single,DCI,1.85
Leap Fare,Young Adult / Child Single,DC2,2.65
Leap Fare,Young Adult / Child Single,DC3,3.15
Leap Fare,Young Adult / Child Single,N01,1
Leap Fare,Young Adult / Child Single,N02,1.55
Leap Fare,Young Adult / Child Single,N03,2.35
Leap Fare,Young Adult / Child Single,N04,3
Leap Fare,Young Adult / Child Single,N05,3.65
Leap Fare,Young Adult / Child Single,N06,4.05
Leap Fare,Young Adult / Child Single,N07,4.5
Leap Fare,Young Adult / Child Single,N08,4.8
Leap Fare,Young Adult / Child Single,N09,5.1
Leap Fare,Young Adult / Child Single,N10,5.4
Leap Fare,Young Adult / Child Single,N11,5.7
Leap Fare,Young Adult / Child Single,N12,6
Leap Fare,Young Adult / Child Single,N13,6.3
Cash Fare,Adult Single,DEX,3.4
Cash Fare,Adult Single,DCI,5.3
Cash Fare,Adult Single,DC2,7.6
Cash Fare,Adult Single,DC3,9
Cash Fare,Adult Single,N01,2.9
Cash Fare,Adult Single,N02,4.4
Cash Fare,Adult Single,N03,6.7
Cash Fare,Adult Single,N04,8.6
Cash Fare,Adult Single,N05,10.4
Cash Fare,Adult Single,N06,11.6
Cash Fare,Adult Single,N07,12.9
Cash Fare,Adult Single,N08,13.7
Cash Fare,Adult Single,N09,14.6
Cash Fare,Adult Single,N10,15.4
Cash Fare,Adult Single,N11,16.3
Cash Fare,Adult Single,N12,17.1
Cash Fare,Adult Single,N13,18
Cash Fare,Child Single,DEX,1.7
Cash Fare,Child Single,DCI,2.7
Cash Fare,Child Single,DC2,3.8
Cash Fare,Child Single,DC3,4.5
Cash Fare,Child Single,N01,1.5
Cash Fare,Child Single,N02,2.2
Cash Fare,Child Single,N03,3.4
Cash Fare,Child Single,N04,4.3
Cash Fare,Child Single,N05,5.2
Cash Fare,Child Single,N06,5.8
Cash Fare,Child Single,N07,6.5
Cash Fare,Child Single,N08,6.9
Cash Fare,Child Single,N09,7.3
Cash Fare,Child Single,N10,7.7
Cash Fare,Child Single,N11,8.2
Cash Fare,Child Single,N12,8.6
Cash Fare,Child Single,N13,9
Cash Fare,Adult Return,DEX,5.8
Cash Fare,Adult Return,DCI,9
Cash Fare,Adult Return,DC2,12.9
Cash Fare,Adult Return,DC3,15.3
Cash Fare,Adult Return,N01,4.9
Cash Fare,Adult Return,N02,7.5
Cash Fare,Adult Return,N03,11.4
Cash Fare,Adult Return,N04,14.6
Cash Fare,Adult Return,N05,17.7
Cash Fare,Adult Return,N06,19.7
Cash Fare,Adult Return,N07,21.9
Cash Fare,Adult Return,N08,23.3
Cash Fare,Adult Return,N09,24.8
Cash Fare,Adult Return,N10,26.2
Cash Fare,Adult Return,N11,27.7
Cash Fare,Adult Return,N12,29.1
Cash Fare,Adult Return,N13,30.6
Cash Fare,Child Return,DEX,2.9
Cash Fare,Child Return,DCI,4.5
Cash Fare,Child Return,DC2,6.5
Cash Fare,Child Return,DC3,7.7
Cash Fare,Child Return,N01,2.5
Cash Fare,Child Return,N02,3.8
Cash Fare,Child Return,N03,5.7
Cash Fare,Child Return,N04,7.3
Cash Fare,Child Return,N05,8.8
Cash Fare,Child Return,N06,9.9
Cash Fare,Child Return,N07,11
Cash Fare,Child Return,N08,11.7
Cash Fare,Child Return,N09,12.4
Cash Fare,Child Return,N10,13.1
Cash Fare,Child Return,N11,13.9
Cash Fare,Child Return,N12,14.6
Cash Fare,Child Return,N13,15.3
Leap Fare,Adult Single,TF,1.5
Leap Fare,Young Adult Single (TF),TF,0.75
Leap Fare,Child Single (TF),TF,0.65
Cash Fare,Adult Single,TF,2
Cash Fare,Child Single,TF,0.9
