Route,Origin,Destination,Fare Band
115,Dublin,Dublin,NA
115,Dublin,Kennelsfort Road,D
115,Dublin,Liffey Valley SC,D
115,Dublin,Lucan Spa Hotel,D
115,Dublin,Maynooth,D
115,Dublin,Maynooth (University),DEX
115,Dublin,Millerstown,DC1
115,Dublin,Kilcock Square,DC1
115,Dublin,Kilcock,DC1
115,Dublin,Ferrans Lock,DC1
115,Dublin,Kelleghers Cross,DC1
115,Dublin,Cloncurry Cross,DC2
115,Dublin,Enfield,DC2
115,Dublin,Moyvalley,DC3
115,Dublin,Farrells Nursery,DC3
115,Dublin,Clonard,N06
115,Dublin,Kinnegad,N06
115,Dublin,Coralstown,N07
115,Dublin,Heathstown,N07
115,Dublin,Mullingar East,N08
115,Dublin,Mullingar,N08
115,Dublin,Summerhill (Meath),DC2
115,Dublin,Rathmolyon,DC2
115,Dublin,Ballivor,N06
115,Dublin,Raharney,N06
115,Dublin,Killucan,N07
115,Dublin,Longwood,DC3
115,Kennelsfort Road,Dublin,D
115,Kennelsfort Road,Kennelsfort Road,NA
115,Kennelsfort Road,Liffey Valley SC,D
115,Kennelsfort Road,Lucan Spa Hotel,D
115,Kennelsfort Road,Maynooth,D
115,Kennelsfort Road,Maynooth (University),DEX
115,Kennelsfort Road,Millerstown,DC1
115,Kennelsfort Road,Kilcock Square,DC1
115,Kennelsfort Road,Kilcock,DC1
115,Kennelsfort Road,Ferrans Lock,DC1
115,Kennelsfort Road,Kelleghers Cross,DC1
115,Kennelsfort Road,Cloncurry Cross,N03
115,Kennelsfort Road,Enfield,DC2
115,Kennelsfort Road,Moyvalley,N04
115,Kennelsfort Road,Farrells Nursery,N04
115,Kennelsfort Road,Clonard,N05
115,Kennelsfort Road,Kinnegad,N05
115,Kennelsfort Road,Coralstown,N06
115,Kennelsfort Road,Heathstown,N06
115,Kennelsfort Road,Mullingar East,N07
115,Kennelsfort Road,Mullingar,N07
115,Kennelsfort Road,Summerhill (Meath),N03
115,Kennelsfort Road,Rathmolyon,DC2
115,Kennelsfort Road,Ballivor,N05
115,Kennelsfort Road,Raharney,N06
115,Kennelsfort Road,Killucan,N06
115,Kennelsfort Road,Longwood,N04
115,Liffey Valley SC,Dublin,D
115,Liffey Valley SC,Kennelsfort Road,D
115,Liffey Valley SC,Liffey Valley SC,NA
115,Liffey Valley SC,Lucan Spa Hotel,D
115,Liffey Valley SC,Maynooth,D
115,Liffey Valley SC,Maynooth (University),DEX
115,Liffey Valley SC,Millerstown,N02
115,Liffey Valley SC,Kilcock Square,N02
115,Liffey Valley SC,Kilcock,N02
115,Liffey Valley SC,Ferrans Lock,DC1
115,Liffey Valley SC,Kelleghers Cross,DC1
115,Liffey Valley SC,Cloncurry Cross,N03
115,Liffey Valley SC,Enfield,N03
115,Liffey Valley SC,Moyvalley,N04
115,Liffey Valley SC,Farrells Nursery,N04
115,Liffey Valley SC,Clonard,N05
115,Liffey Valley SC,Kinnegad,N05
115,Liffey Valley SC,Coralstown,N06
115,Liffey Valley SC,Heathstown,N06
115,Liffey Valley SC,Mullingar East,N07
