PaymentMeans,TicketType,FareZone,Fare
Period,Adult Daily,1,6
Period,Young Adult Daily,1,3
Period,Child Daily,1,1.95
Period,Adult Weekly,1,24
Period,Young Adult Weekly,1,12
Period,Child Weekly,1,7.8
Period,Adult Monthly,1,96
Period,Young Adult Monthly,1,48
Period,Child Monthly,1,48
Period,Adult Annual,1,960
Period,Adult Daily,2,10
Period,Young Adult Daily,2,5
Period,Child Daily,2,5
Period,Adult Weekly,2,32
Period,Young Adult Weekly,2,16
Period,Child Weekly,2,16
Period,Adult Monthly,2,140
Period,Young Adult Monthly,2,70
Period,Child Monthly,2,70
Period,Adult Annual,2,1400
Period,Adult Daily,3,14
Period,Young Adult Daily,3,7
Period,Child Daily,3,7
Period,Adult Weekly,3,56
Period,Young Adult Weekly,3,28
Period,Child Weekly,3,28
Period,Adult Monthly,3,196
Period,Young Adult Monthly,3,98
Period,Child Monthly,3,98
Period,Adult Annual,3,1960
Period,Adult Daily,4,16.8
Period,Young Adult Daily,4,8.4
Period,Child Daily,4,8.4
Period,Adult Weekly,4,67.2
Period,Young Adult Weekly,4,33.6
Period,Child Weekly,4,33.6
Period,Adult Monthly,4,235.2
Period,Young Adult Monthly,4,117.6
Period,Child Monthly,4,117.6
Period,Adult Annual,4,2352
