Origin,Destination,Value,Zone
Drogheda (MacBride),Laytown,D10,3
Drogheda (MacBride),Gormanston,D11,3
Drogheda (MacBride),Balbriggan,D11,3
Drogheda (MacBride),Skerries,D12,3
Drogheda (MacBride),Rush and Lusk,D91,3
Drogheda (MacBride),Donabate,D91,3
Drogheda (MacBride),Malahide,D91,3
Drogheda (MacBride),Portmarnock,D91,3
Drogheda (MacBride),Clongriffin,D91,3
Drogheda (MacBride),Howth,D91,3
Drogheda (MacBride),Sutton,D91,3
Drogheda (MacBride),Bayside,D91,3
Drogheda (MacBride),Howth Junction and Donaghmede,D91,3
Drogheda (MacBride),Kilbarrack,D91,3
Drogheda (MacBride),Raheny,D91,3
Drogheda (MacBride),Harmonstown,D91,3
Drogheda (MacBride),Killester,D91,3
Drogheda (MacBride),Clontarf Road,D91,3
Drogheda (MacBride),Dublin Connolly,D91,3
Drogheda (MacBride),Tara Street,D91,3
Drogheda (MacBride),Dublin Pearse,D91,3
Drogheda (MacBride),Grand Canal Dock,D91,3
Drogheda (MacBride),Lansdowne Road,D91,3
Drogheda (MacBride),Sandymount,D91,3
Drogheda (MacBride),Sydney Parade,D91,3
Drogheda (MacBride),Booterstown,D91,3
Drogheda (MacBride),Blackrock,D91,3
Drogheda (MacBride),Seapoint,D91,3
Drogheda (MacBride),Salthill and Monkstown,D91,3
Drogheda (MacBride),Dun Laoghaire (Mallin),D91,3
Drogheda (MacBride),Sandycove and Glasthule,D91,3
Drogheda (MacBride),Glenageary,D91,3
Drogheda (MacBride),Dalkey,D91,3
Drogheda (MacBride),Killiney,D91,3
Drogheda (MacBride),Shankill,D91,3
Drogheda (MacBride),Bray (Daly),D91,3
Drogheda (MacBride),Greystones,D92,3
Drogheda (MacBride),Kilcoole,D92,3
Drogheda (MacBride),Wicklow,D93,3
Drogheda (MacBride),Rathdrum,D94,4
Drogheda (MacBride),Docklands,D91,3
Drogheda (MacBride),Drumcondra,D91,3
Drogheda (MacBride),Broombridge,D91,3
Drogheda (MacBride),Pelletstown,D91,3
Drogheda (MacBride),Ashtown,D91,3
Drogheda (MacBride),Navan Road Parkway,D91,3
Drogheda (MacBride),Castleknock,D91,3
Drogheda (MacBride),Coolmine,D91,3
Drogheda (MacBride),Clonsilla,D91,3
Drogheda (MacBride),Hansfield,D91,3
Drogheda (MacBride),Dunboyne,D91,3
Drogheda (MacBride),M3 Parkway,D91,3
Drogheda (MacBride),Leixlip(Confey),D91,3
